sample_source,sample_type,sample_id,image_height,image_width,image_aspect_ratio
supplemental,forged,13977,1382,1359,0.983357452966715
supplemental,forged,14128,497,988,1.987927565392354
supplemental,forged,15257,2790,1702,0.6100358422939068
supplemental,forged,16338,4417,2080,0.4709078560108671
supplemental,forged,16714,1205,2051,1.7020746887966804
supplemental,forged,16972,1141,831,0.7283085013146363
supplemental,forged,1712,713,1267,1.7769985974754559
supplemental,forged,18821,585,1224,2.0923076923076924
supplemental,forged,19612,803,997,1.2415940224159403
supplemental,forged,1970,2134,4000,1.8744142455482662
supplemental,forged,20833,1337,1364,1.0201944652206432
supplemental,forged,20903,1200,3422,2.8516666666666666
supplemental,forged,20942,545,1814,3.328440366972477
supplemental,forged,2110,3818,3326,0.8711367207962284
supplemental,forged,22617,3648,2911,0.7979714912280702
supplemental,forged,24032,903,865,0.9579180509413068
supplemental,forged,26779,1297,1951,1.5042405551272167
supplemental,forged,28808,2242,3417,1.524085637823372
supplemental,forged,31168,754,1500,1.9893899204244032
supplemental,forged,31978,746,2011,2.695710455764075
supplemental,forged,32248,732,874,1.1939890710382515
supplemental,forged,32567,381,478,1.2545931758530184
supplemental,forged,32575,1740,901,0.517816091954023
supplemental,forged,33036,643,1272,1.9782270606531882
supplemental,forged,36602,2528,3488,1.379746835443038
supplemental,forged,37723,522,886,1.6973180076628354
supplemental,forged,37818,1011,1654,1.6360039564787339
supplemental,forged,39726,613,887,1.4469820554649266
supplemental,forged,40574,642,1279,1.9922118380062306
supplemental,forged,42502,2021,2008,0.9935675408213755
supplemental,forged,42522,2125,1181,0.5557647058823529
supplemental,forged,43444,556,851,1.5305755395683454
supplemental,forged,44639,2154,1947,0.903899721448468
supplemental,forged,46513,1347,1364,1.0126206384558278
supplemental,forged,47110,2147,3493,1.6269212855146717
supplemental,forged,47470,1430,946,0.6615384615384615
supplemental,forged,47493,585,719,1.2290598290598291
supplemental,forged,47833,771,1216,1.577172503242542
supplemental,forged,49484,3919,2994,0.7639704006124011
supplemental,forged,50798,572,1126,1.9685314685314685
supplemental,forged,51318,1818,2953,1.6243124312431243
supplemental,forged,5205,734,924,1.2588555858310626
supplemental,forged,5355,2741,1708,0.6231302444363371
supplemental,forged,59764,4149,3326,0.8016389491443722
supplemental,forged,60087,4159,2781,0.6686703534503486
supplemental,forged,63106,2914,3321,1.1396705559368565
supplemental,forged,63435,2212,2333,1.0547016274864376
supplemental,forged,64908,747,384,0.5140562248995983
train,forged,10,512,648,1.265625
train,forged,10015,1200,1600,1.3333333333333333
train,forged,10017,256,320,1.25
train,forged,10030,666,1000,1.5015015015015014
train,forged,10070,712,414,0.5814606741573034
train,forged,1008,158,1310,8.291139240506329
train,forged,10138,3888,2592,0.6666666666666666
train,forged,10139,846,759,0.8971631205673759
train,forged,10147,1912,2568,1.3430962343096233
train,forged,10152,152,1201,7.901315789473684
train,forged,10176,666,1000,1.5015015015015014
train,forged,10180,666,1000,1.5015015015015014
train,forged,10208,520,696,1.3384615384615384
train,forged,10266,666,1000,1.5015015015015014
train,forged,10277,666,1000,1.5015015015015014
train,forged,10290,1200,1600,1.3333333333333333
train,forged,10296,81,113,1.3950617283950617
train,forged,10307,1200,1600,1.3333333333333333
train,forged,10348,256,320,1.25
train,forged,10398,402,618,1.537313432835821
train,forged,10408,64,434,6.78125
train,forged,1041,140,403,2.8785714285714286
train,forged,10435,422,1137,2.6943127962085307
train,forged,10448,68,753,11.073529411764707
train,forged,10457,256,256,1.0
train,forged,10458,156,536,3.4358974358974357
train,forged,10476,666,1000,1.5015015015015014
train,forged,10505,102,986,9.666666666666666
train,forged,10570,458,1216,2.6550218340611353
train,forged,10602,490,655,1.336734693877551
train,forged,10632,256,256,1.0
train,forged,10636,360,360,1.0
train,forged,10645,120,640,5.333333333333333
train,forged,1070,520,696,1.3384615384615384
train,forged,10703,512,620,1.2109375
train,forged,10730,666,1000,1.5015015015015014
train,forged,10742,256,256,1.0
train,forged,10799,3888,2592,0.6666666666666666
train,forged,10838,573,355,0.6195462478184991
train,forged,10855,360,360,1.0
train,forged,10878,507,180,0.35502958579881655
train,forged,10884,392,380,0.9693877551020408
train,forged,10886,666,1000,1.5015015015015014
train,forged,10911,256,256,1.0
train,forged,10939,360,360,1.0
train,forged,10951,177,673,3.8022598870056497
train,forged,1097,360,360,1.0
train,forged,10980,512,512,1.0
train,forged,10986,231,275,1.1904761904761905
train,forged,10991,256,256,1.0
train,forged,10992,666,1000,1.5015015015015014
train,forged,1101,1200,1600,1.3333333333333333
train,forged,11010,1200,1600,1.3333333333333333
train,forged,11014,1200,1600,1.3333333333333333
train,forged,11128,365,483,1.3232876712328767
train,forged,11130,439,419,0.9544419134396356
train,forged,11206,666,1000,1.5015015015015014
train,forged,11223,1200,1600,1.3333333333333333
train,forged,11240,214,755,3.52803738317757
train,forged,11249,512,704,1.375
train,forged,11277,1200,1600,1.3333333333333333
train,forged,11296,512,512,1.0
train,forged,11299,473,925,1.9556025369978858
train,forged,11307,520,696,1.3384615384615384
train,forged,11333,1200,1600,1.3333333333333333
train,forged,11356,256,256,1.0
train,forged,1137,270,480,1.7777777777777777
train,forged,11392,666,1000,1.5015015015015014
train,forged,11399,1200,1600,1.3333333333333333
train,forged,11426,512,696,1.359375
train,forged,1143,788,636,0.8071065989847716
train,forged,11440,256,320,1.25
train,forged,11446,1200,1600,1.3333333333333333
train,forged,11501,418,1409,3.3708133971291865
train,forged,11508,1024,1280,1.25
train,forged,11513,256,320,1.25
train,forged,11547,1200,1600,1.3333333333333333
train,forged,11548,666,1000,1.5015015015015014
train,forged,11639,666,1000,1.5015015015015014
train,forged,11646,512,683,1.333984375
train,forged,11662,256,256,1.0
train,forged,11698,67,398,5.940298507462686
train,forged,11708,184,1435,7.798913043478261
train,forged,1173,256,256,1.0
train,forged,1174,1041,250,0.24015369836695485
train,forged,11740,512,512,1.0
train,forged,11747,512,680,1.328125
train,forged,11761,512,628,1.2265625
train,forged,11764,1200,1600,1.3333333333333333
train,forged,11785,528,512,0.9696969696969697
train,forged,11854,1200,1600,1.3333333333333333
train,forged,11904,256,256,1.0
train,forged,11910,666,1000,1.5015015015015014
train,forged,11919,128,1486,11.609375
train,forged,11942,256,256,1.0
train,forged,11954,512,512,1.0
train,forged,11964,360,360,1.0
train,forged,11985,666,1000,1.5015015015015014
train,forged,1201,865,1101,1.2728323699421966
train,forged,12019,1200,1600,1.3333333333333333
train,forged,12025,1024,1024,1.0
train,forged,12046,1200,1600,1.3333333333333333
train,forged,12051,520,696,1.3384615384615384
train,forged,12063,520,696,1.3384615384615384
train,forged,12064,216,569,2.634259259259259
train,forged,12073,256,256,1.0
train,forged,12115,597,657,1.100502512562814
train,forged,12124,520,696,1.3384615384615384
train,forged,12143,1200,1600,1.3333333333333333
train,forged,12149,360,360,1.0
train,forged,12150,512,748,1.4609375
train,forged,12184,512,512,1.0
train,forged,12244,2592,3888,1.5
train,forged,1225,254,600,2.3622047244094486
train,forged,12261,256,320,1.25
train,forged,12262,341,311,0.9120234604105572
train,forged,12265,1200,1600,1.3333333333333333
train,forged,12289,3888,2592,0.6666666666666666
train,forged,12298,666,1000,1.5015015015015014
train,forged,12299,1200,1600,1.3333333333333333
train,forged,12300,512,512,1.0
train,forged,12307,161,1171,7.273291925465839
train,forged,12335,512,512,1.0
train,forged,12355,666,1000,1.5015015015015014
train,forged,12363,256,256,1.0
train,forged,12364,204,975,4.779411764705882
train,forged,12366,256,320,1.25
train,forged,1237,262,1541,5.8816793893129775
train,forged,12412,512,701,1.369140625
train,forged,12427,133,615,4.62406015037594
train,forged,12446,256,320,1.25
train,forged,12459,1024,1280,1.25
train,forged,12505,1912,2568,1.3430962343096233
train,forged,1251,1418,1440,1.0155148095909732
train,forged,12557,3888,2592,0.6666666666666666
train,forged,12572,1912,2568,1.3430962343096233
train,forged,12574,666,1000,1.5015015015015014
train,forged,12589,256,320,1.25
train,forged,12612,2592,3888,1.5
train,forged,12615,512,914,1.78515625
train,forged,12629,270,480,1.7777777777777777
train,forged,1270,1200,1600,1.3333333333333333
train,forged,12705,256,320,1.25
train,forged,1272,256,256,1.0
train,forged,12747,666,1000,1.5015015015015014
train,forged,12793,666,1000,1.5015015015015014
train,forged,12798,1912,2568,1.3430962343096233
train,forged,12809,97,621,6.402061855670103
train,forged,12823,360,360,1.0
train,forged,12862,256,256,1.0
train,forged,12879,360,360,1.0
train,forged,12908,512,664,1.296875
train,forged,12912,256,320,1.25
train,forged,12919,1200,1600,1.3333333333333333
train,forged,12924,2592,3888,1.5
train,forged,13020,96,416,4.333333333333333
train,forged,13072,1024,1024,1.0
train,forged,13108,256,256,1.0
train,forged,13115,256,256,1.0
train,forged,13121,326,474,1.4539877300613497
train,forged,13123,514,512,0.9961089494163424
train,forged,13187,1200,1600,1.3333333333333333
train,forged,13219,1200,1600,1.3333333333333333
train,forged,13254,512,512,1.0
train,forged,13315,512,516,1.0078125
train,forged,13333,1200,1600,1.3333333333333333
train,forged,13361,419,497,1.1861575178997614
train,forged,13415,512,635,1.240234375
train,forged,13426,665,332,0.4992481203007519
train,forged,13444,666,1000,1.5015015015015014
train,forged,13451,512,568,1.109375
train,forged,13510,341,311,0.9120234604105572
train,forged,13511,2592,3888,1.5
train,forged,13516,666,1000,1.5015015015015014
train,forged,1353,419,1841,4.393794749403341
train,forged,13603,256,320,1.25
train,forged,13611,256,256,1.0
train,forged,13624,917,1301,1.4187568157033805
train,forged,13635,247,655,2.651821862348178
train,forged,13665,1912,2568,1.3430962343096233
train,forged,13670,666,1000,1.5015015015015014
train,forged,13677,291,266,0.9140893470790378
train,forged,13725,1200,1600,1.3333333333333333
train,forged,13732,512,520,1.015625
train,forged,13734,1024,1280,1.25
train,forged,13742,1200,1600,1.3333333333333333
train,forged,13744,512,512,1.0
train,forged,13785,1024,1024,1.0
train,forged,13799,100,742,7.42
train,forged,13813,666,1000,1.5015015015015014
train,forged,13839,351,694,1.9772079772079771
train,forged,13846,467,417,0.892933618843683
train,forged,1385,520,696,1.3384615384615384
train,forged,1386,666,1000,1.5015015015015014
train,forged,13863,1024,1280,1.25
train,forged,13893,184,1264,6.869565217391305
train,forged,13898,512,700,1.3671875
train,forged,13905,1200,1600,1.3333333333333333
train,forged,13920,1200,1600,1.3333333333333333
train,forged,13957,256,256,1.0
train,forged,13971,512,512,1.0
train,forged,13986,1956,1398,0.7147239263803681
train,forged,13989,260,347,1.3346153846153845
train,forged,14010,256,256,1.0
train,forged,14048,666,1000,1.5015015015015014
train,forged,14070,1024,1024,1.0
train,forged,14087,256,256,1.0
train,forged,14094,512,514,1.00390625
train,forged,14101,1200,1600,1.3333333333333333
train,forged,14111,1200,1600,1.3333333333333333
train,forged,14114,666,1000,1.5015015015015014
train,forged,14123,666,1000,1.5015015015015014
train,forged,14153,512,512,1.0
train,forged,14170,263,306,1.1634980988593155
train,forged,14184,520,696,1.3384615384615384
train,forged,1419,1912,2568,1.3430962343096233
train,forged,14203,256,320,1.25
train,forged,14205,77,984,12.779220779220779
train,forged,14227,528,512,0.9696969696969697
train,forged,14324,256,320,1.25
train,forged,14331,1200,1600,1.3333333333333333
train,forged,14371,1200,1600,1.3333333333333333
train,forged,14389,232,608,2.6206896551724137
train,forged,14401,67,398,5.940298507462686
train,forged,14403,1200,1600,1.3333333333333333
train,forged,14436,256,320,1.25
train,forged,14462,424,375,0.8844339622641509
train,forged,14478,1912,2568,1.3430962343096233
train,forged,14498,256,256,1.0
train,forged,14506,520,696,1.3384615384615384
train,forged,14594,1200,1600,1.3333333333333333
train,forged,14605,1912,2568,1.3430962343096233
train,forged,14608,256,256,1.0
train,forged,14618,256,256,1.0
train,forged,14622,666,1000,1.5015015015015014
train,forged,14624,360,360,1.0
train,forged,14664,512,640,1.25
train,forged,1467,1200,1600,1.3333333333333333
train,forged,14690,666,1000,1.5015015015015014
train,forged,14692,1200,1600,1.3333333333333333
train,forged,14700,512,512,1.0
train,forged,14710,256,256,1.0
train,forged,14716,1200,1600,1.3333333333333333
train,forged,14720,360,360,1.0
train,forged,14747,256,256,1.0
train,forged,14770,96,517,5.385416666666667
train,forged,14776,107,534,4.990654205607477
train,forged,1482,1136,1445,1.2720070422535212
train,forged,14820,419,1608,3.837708830548926
train,forged,14822,256,320,1.25
train,forged,14829,1200,1600,1.3333333333333333
train,forged,14868,512,687,1.341796875
train,forged,14891,617,1283,2.079416531604538
train,forged,14898,666,1000,1.5015015015015014
train,forged,14908,520,696,1.3384615384615384
train,forged,14930,1028,1384,1.3463035019455254
train,forged,14944,121,495,4.090909090909091
train,forged,14954,256,256,1.0
train,forged,14959,520,696,1.3384615384615384
train,forged,14965,512,740,1.4453125
train,forged,14988,256,256,1.0
train,forged,14999,256,320,1.25
train,forged,15010,520,696,1.3384615384615384
train,forged,15035,1024,1024,1.0
train,forged,15056,256,256,1.0
train,forged,15061,1024,1280,1.25
train,forged,15120,512,776,1.515625
train,forged,15171,360,360,1.0
train,forged,15176,89,260,2.9213483146067416
train,forged,15205,88,502,5.704545454545454
train,forged,15269,3888,2592,0.6666666666666666
train,forged,15285,666,1000,1.5015015015015014
train,forged,15295,666,1000,1.5015015015015014
train,forged,15314,256,256,1.0
train,forged,15321,256,256,1.0
train,forged,1536,117,558,4.769230769230769
train,forged,15369,1912,2568,1.3430962343096233
