sample_source,sample_type,sample_id,image_path,mask_path,image_height,image_width,mask_height,mask_width,image_aspect_ratio
train,authentic,10,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10.png,,512,648,,,1.265625
train,authentic,10015,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10015.png,,1200,1600,,,1.3333333333333333
train,authentic,10017,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10017.png,,256,320,,,1.25
train,authentic,10030,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10030.png,,666,1000,,,1.5015015015015014
train,authentic,10070,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10070.png,,712,414,,,0.5814606741573034
train,authentic,1008,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/1008.png,,158,1310,,,8.291139240506329
train,authentic,10138,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10138.png,,3888,2592,,,0.6666666666666666
train,authentic,10139,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10139.png,,846,759,,,0.8971631205673759
train,authentic,10147,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10147.png,,1912,2568,,,1.3430962343096233
train,authentic,10152,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10152.png,,152,1201,,,7.901315789473684
train,authentic,10176,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10176.png,,666,1000,,,1.5015015015015014
train,authentic,10180,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10180.png,,666,1000,,,1.5015015015015014
train,authentic,10208,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10208.png,,520,696,,,1.3384615384615384
train,authentic,10266,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10266.png,,666,1000,,,1.5015015015015014
train,authentic,10277,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10277.png,,666,1000,,,1.5015015015015014
train,authentic,10290,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10290.png,,1200,1600,,,1.3333333333333333
train,authentic,10296,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10296.png,,81,113,,,1.3950617283950617
train,authentic,10348,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10348.png,,256,320,,,1.25
train,authentic,10398,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10398.png,,402,618,,,1.537313432835821
train,authentic,10408,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10408.png,,64,434,,,6.78125
train,authentic,1041,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/1041.png,,140,403,,,2.8785714285714286
train,authentic,10435,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10435.png,,422,1137,,,2.6943127962085307
train,authentic,10448,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10448.png,,68,753,,,11.073529411764707
train,authentic,10457,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10457.png,,256,256,,,1.0
train,authentic,10458,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10458.png,,156,536,,,3.4358974358974357
train,authentic,10476,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10476.png,,666,1000,,,1.5015015015015014
train,authentic,10570,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10570.png,,458,1216,,,2.6550218340611353
train,authentic,10602,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10602.png,,490,655,,,1.336734693877551
train,authentic,10632,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10632.png,,256,256,,,1.0
train,authentic,10636,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10636.png,,360,360,,,1.0
train,authentic,10645,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10645.png,,120,640,,,5.333333333333333
train,authentic,10703,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10703.png,,512,620,,,1.2109375
train,authentic,10730,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10730.png,,666,1000,,,1.5015015015015014
train,authentic,10742,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10742.png,,256,256,,,1.0
train,authentic,10799,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10799.png,,3888,2592,,,0.6666666666666666
train,authentic,10838,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10838.png,,573,355,,,0.6195462478184991
train,authentic,10855,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10855.png,,360,360,,,1.0
train,authentic,10878,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10878.png,,507,180,,,0.35502958579881655
train,authentic,10884,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10884.png,,392,380,,,0.9693877551020408
train,authentic,10886,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10886.png,,666,1000,,,1.5015015015015014
train,authentic,10911,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10911.png,,256,256,,,1.0
train,authentic,10939,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10939.png,,360,360,,,1.0
train,authentic,10951,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10951.png,,177,673,,,3.8022598870056497
train,authentic,10980,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10980.png,,512,512,,,1.0
train,authentic,10986,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10986.png,,231,275,,,1.1904761904761905
train,authentic,10991,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10991.png,,256,256,,,1.0
train,authentic,10992,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10992.png,,666,1000,,,1.5015015015015014
train,authentic,1101,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/1101.png,,1200,1600,,,1.3333333333333333
train,authentic,11010,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11010.png,,1200,1600,,,1.3333333333333333
train,authentic,11128,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11128.png,,365,483,,,1.3232876712328767
train,authentic,11206,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11206.png,,666,1000,,,1.5015015015015014
