sample_source,sample_type,sample_id,image_path,mask_path,mask_height,mask_width,total_pixels,unique_values,num_unique_values,positive_pixels,positive_ratio,mask_size_group
supplemental,forged,13977,/content/drive/MyDrive/Scientific Image Data/supplemental_images/13977.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/13977.npy,1382,1359,1878138,"[0, 1]",2,48420,0.02578085316414449,medium
supplemental,forged,14128,/content/drive/MyDrive/Scientific Image Data/supplemental_images/14128.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/14128.npy,497,988,491036,"[0, 1]",2,44522,0.09066952321214738,large
supplemental,forged,15257,/content/drive/MyDrive/Scientific Image Data/supplemental_images/15257.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/15257.npy,2790,1702,4748580,"[0, 1]",2,7586,0.0015975302090309102,small
supplemental,forged,16338,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16338.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16338.npy,4417,2080,9187360,"[0, 1]",2,327509,0.03564778129952456,medium
supplemental,forged,16714,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16714.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16714.npy,1205,2051,2471455,"[0, 1]",2,344246,0.13928879951283757,large
supplemental,forged,16972,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16972.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16972.npy,1141,831,948171,"[0, 1]",2,89768,0.0946749056868434,large
supplemental,forged,1712,/content/drive/MyDrive/Scientific Image Data/supplemental_images/1712.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/1712.npy,713,1267,903371,"[0, 1]",2,99054,0.10964930244606037,large
supplemental,forged,18821,/content/drive/MyDrive/Scientific Image Data/supplemental_images/18821.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/18821.npy,585,1224,716040,"[0, 1]",2,111136,0.15520920618959835,large
supplemental,forged,19612,/content/drive/MyDrive/Scientific Image Data/supplemental_images/19612.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/19612.npy,803,997,800591,"[0, 1]",2,50049,0.06251506699425799,large
supplemental,forged,1970,/content/drive/MyDrive/Scientific Image Data/supplemental_images/1970.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/1970.npy,2134,4000,8536000,"[0, 1]",2,169217,0.01982392221180881,medium
supplemental,forged,20833,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20833.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20833.npy,1337,1364,1823668,"[0, 1]",2,220112,0.12069740764218048,large
supplemental,forged,20903,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20903.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20903.npy,1200,3422,4106400,"[0, 1]",2,139352,0.033935320475355545,medium
supplemental,forged,20942,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20942.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20942.npy,545,1814,988630,"[0, 1]",2,510150,0.5160171145929215,large
supplemental,forged,2110,/content/drive/MyDrive/Scientific Image Data/supplemental_images/2110.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/2110.npy,3818,3326,12698668,"[0, 1]",2,811988,0.06394276943062059,large
supplemental,forged,22617,/content/drive/MyDrive/Scientific Image Data/supplemental_images/22617.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/22617.npy,3648,2911,10619328,"[0, 1]",2,2706747,0.2548887274223002,large
supplemental,forged,24032,/content/drive/MyDrive/Scientific Image Data/supplemental_images/24032.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/24032.npy,903,865,781095,"[0, 1]",2,20352,0.026055729456724214,medium
