sample_source,sample_type,sample_id,image_path,mask_path,pair_status
train,authentic,10,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10.png,,no_mask_expected
train,authentic,10015,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10015.png,,no_mask_expected
train,authentic,10017,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10017.png,,no_mask_expected
train,authentic,10030,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10030.png,,no_mask_expected
train,authentic,10070,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10070.png,,no_mask_expected
train,authentic,1008,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/1008.png,,no_mask_expected
train,authentic,10138,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10138.png,,no_mask_expected
train,authentic,10139,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10139.png,,no_mask_expected
train,authentic,10147,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10147.png,,no_mask_expected
train,authentic,10152,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10152.png,,no_mask_expected
train,authentic,10176,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10176.png,,no_mask_expected
train,authentic,10180,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10180.png,,no_mask_expected
train,authentic,10208,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10208.png,,no_mask_expected
train,authentic,10266,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10266.png,,no_mask_expected
train,authentic,10277,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10277.png,,no_mask_expected
train,authentic,10290,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10290.png,,no_mask_expected
train,authentic,10296,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10296.png,,no_mask_expected
train,authentic,10348,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10348.png,,no_mask_expected
train,authentic,10398,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10398.png,,no_mask_expected
train,authentic,10408,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10408.png,,no_mask_expected
train,authentic,1041,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/1041.png,,no_mask_expected
train,authentic,10435,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10435.png,,no_mask_expected
train,authentic,10448,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10448.png,,no_mask_expected
train,authentic,10457,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10457.png,,no_mask_expected
train,authentic,10458,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10458.png,,no_mask_expected
train,authentic,10476,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10476.png,,no_mask_expected
train,authentic,10570,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10570.png,,no_mask_expected
train,authentic,10602,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10602.png,,no_mask_expected
train,authentic,10632,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10632.png,,no_mask_expected
train,authentic,10636,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10636.png,,no_mask_expected
train,authentic,10645,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10645.png,,no_mask_expected
train,authentic,10703,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10703.png,,no_mask_expected
train,authentic,10730,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10730.png,,no_mask_expected
train,authentic,10742,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10742.png,,no_mask_expected
train,authentic,10799,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10799.png,,no_mask_expected
train,authentic,10838,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10838.png,,no_mask_expected
train,authentic,10855,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10855.png,,no_mask_expected
train,authentic,10878,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10878.png,,no_mask_expected
train,authentic,10884,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10884.png,,no_mask_expected
train,authentic,10886,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10886.png,,no_mask_expected
train,authentic,10911,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10911.png,,no_mask_expected
train,authentic,10939,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10939.png,,no_mask_expected
train,authentic,10951,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10951.png,,no_mask_expected
train,authentic,10980,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10980.png,,no_mask_expected
train,authentic,10986,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10986.png,,no_mask_expected
train,authentic,10991,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10991.png,,no_mask_expected
train,authentic,10992,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/10992.png,,no_mask_expected
train,authentic,1101,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/1101.png,,no_mask_expected
train,authentic,11010,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11010.png,,no_mask_expected
train,authentic,11128,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11128.png,,no_mask_expected
