sample_source,sample_type,sample_id,image_path,mask_path,pair_status
supplemental,forged,13977,/content/drive/MyDrive/Scientific Image Data/supplemental_images/13977.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/13977.npy,matched
supplemental,forged,14128,/content/drive/MyDrive/Scientific Image Data/supplemental_images/14128.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/14128.npy,matched
supplemental,forged,15257,/content/drive/MyDrive/Scientific Image Data/supplemental_images/15257.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/15257.npy,matched
supplemental,forged,16338,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16338.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16338.npy,matched
supplemental,forged,16714,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16714.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16714.npy,matched
supplemental,forged,16972,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16972.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16972.npy,matched
supplemental,forged,1712,/content/drive/MyDrive/Scientific Image Data/supplemental_images/1712.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/1712.npy,matched
supplemental,forged,18821,/content/drive/MyDrive/Scientific Image Data/supplemental_images/18821.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/18821.npy,matched
supplemental,forged,19612,/content/drive/MyDrive/Scientific Image Data/supplemental_images/19612.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/19612.npy,matched
supplemental,forged,1970,/content/drive/MyDrive/Scientific Image Data/supplemental_images/1970.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/1970.npy,matched
supplemental,forged,20833,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20833.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20833.npy,matched
supplemental,forged,20903,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20903.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20903.npy,matched
supplemental,forged,20942,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20942.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20942.npy,matched
supplemental,forged,2110,/content/drive/MyDrive/Scientific Image Data/supplemental_images/2110.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/2110.npy,matched
supplemental,forged,22617,/content/drive/MyDrive/Scientific Image Data/supplemental_images/22617.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/22617.npy,matched
supplemental,forged,24032,/content/drive/MyDrive/Scientific Image Data/supplemental_images/24032.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/24032.npy,matched
supplemental,forged,26779,/content/drive/MyDrive/Scientific Image Data/supplemental_images/26779.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/26779.npy,matched
supplemental,forged,28808,/content/drive/MyDrive/Scientific Image Data/supplemental_images/28808.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/28808.npy,matched
supplemental,forged,31168,/content/drive/MyDrive/Scientific Image Data/supplemental_images/31168.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/31168.npy,matched
supplemental,forged,31978,/content/drive/MyDrive/Scientific Image Data/supplemental_images/31978.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/31978.npy,matched
supplemental,forged,32248,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32248.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32248.npy,matched
supplemental,forged,32567,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32567.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32567.npy,matched
supplemental,forged,32575,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32575.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32575.npy,matched
supplemental,forged,33036,/content/drive/MyDrive/Scientific Image Data/supplemental_images/33036.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/33036.npy,matched
supplemental,forged,36602,/content/drive/MyDrive/Scientific Image Data/supplemental_images/36602.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/36602.npy,matched
supplemental,forged,37723,/content/drive/MyDrive/Scientific Image Data/supplemental_images/37723.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/37723.npy,matched
supplemental,forged,37818,/content/drive/MyDrive/Scientific Image Data/supplemental_images/37818.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/37818.npy,matched
supplemental,forged,39726,/content/drive/MyDrive/Scientific Image Data/supplemental_images/39726.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/39726.npy,matched
supplemental,forged,40574,/content/drive/MyDrive/Scientific Image Data/supplemental_images/40574.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/40574.npy,matched
supplemental,forged,42502,/content/drive/MyDrive/Scientific Image Data/supplemental_images/42502.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/42502.npy,matched
supplemental,forged,42522,/content/drive/MyDrive/Scientific Image Data/supplemental_images/42522.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/42522.npy,matched
supplemental,forged,43444,/content/drive/MyDrive/Scientific Image Data/supplemental_images/43444.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/43444.npy,matched
supplemental,forged,44639,/content/drive/MyDrive/Scientific Image Data/supplemental_images/44639.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/44639.npy,matched
supplemental,forged,46513,/content/drive/MyDrive/Scientific Image Data/supplemental_images/46513.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/46513.npy,matched
supplemental,forged,47110,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47110.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47110.npy,matched
supplemental,forged,47470,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47470.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47470.npy,matched
supplemental,forged,47493,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47493.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47493.npy,matched
supplemental,forged,47833,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47833.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47833.npy,matched
supplemental,forged,49484,/content/drive/MyDrive/Scientific Image Data/supplemental_images/49484.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/49484.npy,matched
