sample_source,sample_type,sample_id,image_path,mask_path,image_height,image_width,mask_height,mask_width,image_aspect_ratio,mask_aspect_ratio,shapes_match
supplemental,forged,13977,/content/drive/MyDrive/Scientific Image Data/supplemental_images/13977.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/13977.npy,1382,1359,2,1382,0.983357452966715,691.0,False
supplemental,forged,14128,/content/drive/MyDrive/Scientific Image Data/supplemental_images/14128.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/14128.npy,497,988,1,497,1.987927565392354,497.0,False
supplemental,forged,15257,/content/drive/MyDrive/Scientific Image Data/supplemental_images/15257.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/15257.npy,2790,1702,2,2790,0.6100358422939068,1395.0,False
supplemental,forged,16338,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16338.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16338.npy,4417,2080,2,4417,0.4709078560108671,2208.5,False
supplemental,forged,16714,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16714.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16714.npy,1205,2051,1,1205,1.7020746887966804,1205.0,False
supplemental,forged,16972,/content/drive/MyDrive/Scientific Image Data/supplemental_images/16972.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/16972.npy,1141,831,1,1141,0.7283085013146363,1141.0,False
supplemental,forged,1712,/content/drive/MyDrive/Scientific Image Data/supplemental_images/1712.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/1712.npy,713,1267,1,713,1.7769985974754559,713.0,False
supplemental,forged,18821,/content/drive/MyDrive/Scientific Image Data/supplemental_images/18821.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/18821.npy,585,1224,1,585,2.0923076923076924,585.0,False
supplemental,forged,19612,/content/drive/MyDrive/Scientific Image Data/supplemental_images/19612.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/19612.npy,803,997,1,803,1.2415940224159403,803.0,False
supplemental,forged,1970,/content/drive/MyDrive/Scientific Image Data/supplemental_images/1970.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/1970.npy,2134,4000,2,2134,1.8744142455482662,1067.0,False
supplemental,forged,20833,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20833.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20833.npy,1337,1364,4,1337,1.0201944652206432,334.25,False
supplemental,forged,20903,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20903.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20903.npy,1200,3422,1,1200,2.8516666666666666,1200.0,False
supplemental,forged,20942,/content/drive/MyDrive/Scientific Image Data/supplemental_images/20942.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/20942.npy,545,1814,1,545,3.328440366972477,545.0,False
supplemental,forged,2110,/content/drive/MyDrive/Scientific Image Data/supplemental_images/2110.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/2110.npy,3818,3326,1,3818,0.8711367207962284,3818.0,False
supplemental,forged,22617,/content/drive/MyDrive/Scientific Image Data/supplemental_images/22617.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/22617.npy,3648,2911,1,3648,0.7979714912280702,3648.0,False
supplemental,forged,24032,/content/drive/MyDrive/Scientific Image Data/supplemental_images/24032.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/24032.npy,903,865,1,903,0.9579180509413068,903.0,False
supplemental,forged,26779,/content/drive/MyDrive/Scientific Image Data/supplemental_images/26779.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/26779.npy,1297,1951,2,1297,1.5042405551272167,648.5,False
supplemental,forged,28808,/content/drive/MyDrive/Scientific Image Data/supplemental_images/28808.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/28808.npy,2242,3417,1,2242,1.524085637823372,2242.0,False
supplemental,forged,31168,/content/drive/MyDrive/Scientific Image Data/supplemental_images/31168.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/31168.npy,754,1500,1,754,1.9893899204244032,754.0,False
supplemental,forged,31978,/content/drive/MyDrive/Scientific Image Data/supplemental_images/31978.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/31978.npy,746,2011,1,746,2.695710455764075,746.0,False
supplemental,forged,32248,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32248.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32248.npy,732,874,1,732,1.1939890710382515,732.0,False
supplemental,forged,32567,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32567.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32567.npy,381,478,1,381,1.2545931758530184,381.0,False
supplemental,forged,32575,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32575.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32575.npy,1740,901,1,1740,0.517816091954023,1740.0,False
supplemental,forged,33036,/content/drive/MyDrive/Scientific Image Data/supplemental_images/33036.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/33036.npy,643,1272,3,643,1.9782270606531882,214.33333333333334,False
supplemental,forged,36602,/content/drive/MyDrive/Scientific Image Data/supplemental_images/36602.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/36602.npy,2528,3488,2,2528,1.379746835443038,1264.0,False
supplemental,forged,37723,/content/drive/MyDrive/Scientific Image Data/supplemental_images/37723.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/37723.npy,522,886,1,522,1.6973180076628354,522.0,False
supplemental,forged,37818,/content/drive/MyDrive/Scientific Image Data/supplemental_images/37818.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/37818.npy,1011,1654,1,1011,1.6360039564787339,1011.0,False
supplemental,forged,39726,/content/drive/MyDrive/Scientific Image Data/supplemental_images/39726.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/39726.npy,613,887,1,613,1.4469820554649266,613.0,False
supplemental,forged,40574,/content/drive/MyDrive/Scientific Image Data/supplemental_images/40574.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/40574.npy,642,1279,1,642,1.9922118380062306,642.0,False
supplemental,forged,42502,/content/drive/MyDrive/Scientific Image Data/supplemental_images/42502.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/42502.npy,2021,2008,2,2021,0.9935675408213755,1010.5,False
supplemental,forged,42522,/content/drive/MyDrive/Scientific Image Data/supplemental_images/42522.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/42522.npy,2125,1181,13,2125,0.5557647058823529,163.46153846153845,False
supplemental,forged,43444,/content/drive/MyDrive/Scientific Image Data/supplemental_images/43444.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/43444.npy,556,851,1,556,1.5305755395683454,556.0,False
supplemental,forged,44639,/content/drive/MyDrive/Scientific Image Data/supplemental_images/44639.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/44639.npy,2154,1947,1,2154,0.903899721448468,2154.0,False
supplemental,forged,46513,/content/drive/MyDrive/Scientific Image Data/supplemental_images/46513.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/46513.npy,1347,1364,3,1347,1.0126206384558278,449.0,False
supplemental,forged,47110,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47110.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47110.npy,2147,3493,2,2147,1.6269212855146717,1073.5,False
supplemental,forged,47470,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47470.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47470.npy,1430,946,8,1430,0.6615384615384615,178.75,False
supplemental,forged,47493,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47493.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47493.npy,585,719,1,585,1.2290598290598291,585.0,False
supplemental,forged,47833,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47833.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47833.npy,771,1216,1,771,1.577172503242542,771.0,False
supplemental,forged,49484,/content/drive/MyDrive/Scientific Image Data/supplemental_images/49484.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/49484.npy,3919,2994,1,3919,0.7639704006124011,3919.0,False
supplemental,forged,50798,/content/drive/MyDrive/Scientific Image Data/supplemental_images/50798.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/50798.npy,572,1126,1,572,1.9685314685314685,572.0,False
supplemental,forged,51318,/content/drive/MyDrive/Scientific Image Data/supplemental_images/51318.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/51318.npy,1818,2953,1,1818,1.6243124312431243,1818.0,False
supplemental,forged,5205,/content/drive/MyDrive/Scientific Image Data/supplemental_images/5205.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/5205.npy,734,924,1,734,1.2588555858310626,734.0,False
supplemental,forged,5355,/content/drive/MyDrive/Scientific Image Data/supplemental_images/5355.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/5355.npy,2741,1708,1,2741,0.6231302444363371,2741.0,False
supplemental,forged,59764,/content/drive/MyDrive/Scientific Image Data/supplemental_images/59764.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/59764.npy,4149,3326,1,4149,0.8016389491443722,4149.0,False
supplemental,forged,60087,/content/drive/MyDrive/Scientific Image Data/supplemental_images/60087.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/60087.npy,4159,2781,2,4159,0.6686703534503486,2079.5,False
supplemental,forged,63106,/content/drive/MyDrive/Scientific Image Data/supplemental_images/63106.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/63106.npy,2914,3321,4,2914,1.1396705559368565,728.5,False
supplemental,forged,63435,/content/drive/MyDrive/Scientific Image Data/supplemental_images/63435.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/63435.npy,2212,2333,1,2212,1.0547016274864376,2212.0,False
