sample_source,sample_type,sample_id,image_path,mask_path,image_height,image_width,mask_height,mask_width,image_aspect_ratio,mask_aspect_ratio,shapes_match,total_pixels,num_unique_values,positive_pixels,positive_ratio,mask_size_group,label,pair_status,stratify_key,split
train,authentic,24654,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/24654.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,45911,/content/drive/MyDrive/Scientific Image Data/train_images/forged/45911.png,/content/drive/MyDrive/Scientific Image Data/train_masks/45911.npy,132.0,166.0,1.0,132.0,1.2575757575757576,132.0,False,21912.0,2.0,1123.0,0.0512504563709383,large,1,,forged_large,train
train,forged,45710,/content/drive/MyDrive/Scientific Image Data/train_images/forged/45710.png,/content/drive/MyDrive/Scientific Image Data/train_masks/45710.npy,907.0,242.0,1.0,907.0,0.26681367144432194,907.0,False,219494.0,2.0,29724.0,0.13542055819293466,large,1,,forged_large,train
train,authentic,41816,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/41816.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,49567,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/49567.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,62195,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/62195.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,16161,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/16161.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,22346,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/22346.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,30408,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/30408.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,25502,/content/drive/MyDrive/Scientific Image Data/train_images/forged/25502.png,/content/drive/MyDrive/Scientific Image Data/train_masks/25502.npy,545.0,620.0,2.0,545.0,1.1376146788990826,272.5,False,337900.0,2.0,1438.0,0.004255696951760876,small,1,,forged_small,train
train,forged,34869,/content/drive/MyDrive/Scientific Image Data/train_images/forged/34869.png,/content/drive/MyDrive/Scientific Image Data/train_masks/34869.npy,159.0,428.0,1.0,159.0,2.691823899371069,159.0,False,68052.0,2.0,6066.0,0.08913771821548228,large,1,,forged_large,train
train,authentic,50028,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/50028.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,64285,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/64285.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,46849,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/46849.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,37424,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/37424.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,15463,/content/drive/MyDrive/Scientific Image Data/train_images/forged/15463.png,/content/drive/MyDrive/Scientific Image Data/train_masks/15463.npy,512.0,519.0,1.0,512.0,1.013671875,512.0,False,265728.0,2.0,79645.0,0.2997237776974952,large,1,,forged_large,train
train,forged,40279,/content/drive/MyDrive/Scientific Image Data/train_images/forged/40279.png,/content/drive/MyDrive/Scientific Image Data/train_masks/40279.npy,1200.0,1600.0,1.0,1200.0,1.3333333333333333,1200.0,False,1920000.0,2.0,1302.0,0.000678125,tiny,1,,forged_tiny,train
train,forged,14908,/content/drive/MyDrive/Scientific Image Data/train_images/forged/14908.png,/content/drive/MyDrive/Scientific Image Data/train_masks/14908.npy,520.0,696.0,1.0,520.0,1.3384615384615384,520.0,False,361920.0,2.0,497.0,0.0013732316534040671,small,1,,forged_small,train
train,authentic,11356,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11356.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,30634,/content/drive/MyDrive/Scientific Image Data/train_images/forged/30634.png,/content/drive/MyDrive/Scientific Image Data/train_masks/30634.npy,1912.0,2568.0,1.0,1912.0,1.3430962343096233,1912.0,False,4910016.0,2.0,29457.0,0.005999369452156572,small,1,,forged_small,train
train,forged,33041,/content/drive/MyDrive/Scientific Image Data/train_images/forged/33041.png,/content/drive/MyDrive/Scientific Image Data/train_masks/33041.npy,360.0,360.0,1.0,360.0,1.0,360.0,False,129600.0,2.0,3092.0,0.023858024691358025,medium,1,,forged_medium,train
train,authentic,28879,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/28879.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,64601,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/64601.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,41024,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/41024.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,19467,/content/drive/MyDrive/Scientific Image Data/train_images/forged/19467.png,/content/drive/MyDrive/Scientific Image Data/train_masks/19467.npy,2592.0,3888.0,1.0,2592.0,1.5,2592.0,False,10077696.0,2.0,1101084.0,0.10925949740893157,large,1,,forged_large,train
train,authentic,49712,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/49712.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,16939,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/16939.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,16191,/content/drive/MyDrive/Scientific Image Data/train_images/forged/16191.png,/content/drive/MyDrive/Scientific Image Data/train_masks/16191.npy,91.0,593.0,1.0,91.0,6.516483516483516,91.0,False,53963.0,2.0,8226.0,0.15243778144284045,large,1,,forged_large,train
