filename,filepath,label,width,height,channels,pixels,megapixels,aspect_ratio,brightness,contrast,entropy,r_mean,r_std,g_mean,g_std,b_mean,b_std,noise_mean,noise_std,ela_mean,ela_std,ela_max,fft_center,fft_total
10.png,train_images\authentic\10.png,authentic,648,512,3,331776,0.3318,1.2656,95.01,46.62,6.6204,95.01,46.62,95.01,46.62,95.01,46.62,3.7139,6.1011,1.0916,1.2542,13.0,12.6937,7.5055
10015.png,train_images\authentic\10015.png,authentic,1600,1200,3,1920000,1.92,1.3333,7.94,4.04,3.6956,16.64,6.21,5.0,3.69,0.25,0.73,0.6517,0.6006,0.769,0.8356,28.0,11.6636,6.8207
10017.png,train_images\authentic\10017.png,authentic,320,256,3,81920,0.0819,1.25,161.15,15.34,4.5899,169.54,13.89,148.3,18.76,205.37,2.61,0.9415,1.1889,1.4727,1.4468,24.0,10.3544,5.5114
10030.png,train_images\authentic\10030.png,authentic,1000,666,3,666000,0.666,1.5015,93.04,30.55,6.3942,55.68,40.55,109.07,29.23,108.07,31.3,5.6529,6.7524,2.9773,2.4288,29.0,12.4661,8.5504
10070.png,train_images\authentic\10070.png,authentic,414,712,3,294768,0.2948,0.5815,155.17,57.8,7.2931,171.78,50.12,140.79,64.89,185.7,47.73,4.2109,4.6389,3.7074,3.7142,41.0,12.8516,7.4132
1008.png,train_images\authentic\1008.png,authentic,1310,158,3,206980,0.207,8.2911,177.6,44.25,5.4188,177.6,44.25,177.6,44.25,177.6,44.25,0.4751,0.6307,0.3807,0.5134,3.0,11.0268,5.3763
10138.png,train_images\authentic\10138.png,authentic,2592,3888,3,10077696,10.0777,0.6667,183.95,29.12,6.3804,168.53,33.47,204.39,34.95,119.13,43.92,1.1171,1.9282,1.2118,1.2031,24.0,14.9016,8.3672
10139.png,train_images\authentic\10139.png,authentic,759,846,3,642114,0.6421,0.8972,175.45,56.85,7.4827,186.03,48.52,164.74,62.22,202.84,57.3,4.3329,3.7534,3.9872,3.5093,51.0,13.1107,7.6597
10147.png,train_images\authentic\10147.png,authentic,2568,1912,3,4910016,4.91,1.3431,61.01,23.11,5.9088,61.01,23.11,61.01,23.11,61.01,23.11,0.5176,0.4057,0.4969,0.5574,5.0,14.8105,6.9003
10152.png,train_images\authentic\10152.png,authentic,1201,152,3,182552,0.1826,7.9013,178.77,22.76,4.7323,178.77,22.76,178.77,22.76,178.77,22.76,0.738,0.8965,0.5718,0.6075,6.0,10.611,5.7516
